Date,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
4/25/2015,11.5,-1.5,5,0,0,0,0
4/26/2015,12.9,1,7,0,0,0,0
4/27/2015,15.2,3.5,9.4,0,0,0,0
4/28/2015,20.8,4.9,12.9,0,0,0,0
4/29/2015,21.6,5.9,13.8,0,0,0,0
4/30/2015,18.2,6.2,12.2,0,0,0,0
5/1/2015,20.7,7.6,14.2,0,0,0,0
5/2/2015,23.7,5,14.4,0,0,0,0
5/3/2015,25.7,10,17.9,0,0,0,0
5/4/2015,27.9,10.6,19.3,2.8,0,2.8,0
5/5/2015,20,8.9,14.5,0,0,0,0
5/6/2015,24,4.4,14.2,0,0,0,0
5/7/2015,27.1,8.3,17.7,0,0,0,0
5/8/2015,29.9,11.7,20.8,0,0,0,0
5/9/2015,28.8,16,22.4,0.8,0,0.8,0
5/10/2015,20.1,13.8,17,8.3,0,8.3,0
5/11/2015,14.2,8.9,11.6,3.9,0,3.9,0
5/12/2015,22,7.5,14.8,1.9,0,1.9,0
5/13/2015,16.5,6.3,11.4,0,0,0,0
5/14/2015,19,3.5,11.3,0,0,0,0
5/15/2015,20.7,4.2,12.5,0,0,0,0
5/16/2015,21.2,13.8,17.5,0,0,0,0
5/17/2015,24.6,10,17.3,0,0,0,0
5/18/2015,29.6,10.5,20.1,1.6,0,1.6,0
5/19/2015,25.8,17.9,21.9,0,0,0,0
5/20/2015,15.3,3.7,9.5,0,0,0,0
5/21/2015,20.5,7.4,14,0,0,0,0
5/22/2015,11.3,5.7,8.5,0,0,0,0
5/23/2015,17.5,0.5,9,0,0,0,0
5/24/2015,28.1,9,18.6,0,0,0,0
5/25/2015,23.4,14.3,18.9,30.3,0,30.3,0
5/26/2015,29.3,15.5,22.4,0,0,0,0
5/27/2015,27.9,19.5,23.7,0.2,0,0.2,0
5/28/2015,23,16.4,19.7,1.4,0,1.4,0
5/29/2015,26.2,8.9,17.6,0,0,0,0
5/30/2015,29.5,17.5,23.5,13.8,0,13.8,0
5/31/2015,14,7.5,10.8,0,0,0,0
6/1/2015,18,9,13.5,0.4,0,0.4,0
6/2/2015,16.7,8.9,12.8,0,0,0,0
6/3/2015,20.9,5.5,13.2,0,0,0,0
6/4/2015,25.6,8.4,17,0,0,0,0
6/5/2015,22.6,17.4,20,0.8,0,0.8,0
6/6/2015,19.4,8.5,14,0,0,0,0
6/7/2015,23.8,4.5,14.2,20.2,0,20.2,0
6/8/2015,22.4,16,19.2,8,0,8,0
6/9/2015,20,15.3,17.7,3.6,0,3.6,0
6/10/2015,23.3,12,17.7,9.8,0,9.8,0
6/11/2015,24.1,14,19.1,0.4,0,0.4,0
6/12/2015,19.1,16.5,17.8,15.9,0,15.9,0
6/13/2015,25.6,12.3,19,0,0,0,0
6/14/2015,22.6,13.9,18.3,0.6,0,0.6,0
6/15/2015,26.8,15.4,21.1,18.2,0,18.2,0
6/16/2015,25.6,18.8,22.2,0.9,0,0.9,0
6/17/2015,22.3,8.6,15.5,0,0,0,0
6/18/2015,27.2,13.1,20.2,10.8,0,10.8,0
6/19/2015,20.1,9.9,15,0,0,0,0
6/20/2015,25,8.3,16.7,0,0,0,0
6/21/2015,26.6,18,22.3,1.1,0,1.1,0
6/22/2015,26.9,16.1,21.5,1.2,0,1.2,0
6/23/2015,27.8,17.8,22.8,0,0,0,0
6/24/2015,24.8,12.5,18.7,0,0,0,0
6/25/2015,22.3,12,17.2,0,0,0,0
6/26/2015,25.4,10,17.7,0,0,0,0
6/27/2015,22.4,12.5,17.5,0.4,0,0.4,0
6/28/2015,15.6,14,14.8,9.6,0,9.6,0
6/29/2015,22.8,12.5,17.7,3.1,0,3.1,0
6/30/2015,24.2,12.9,18.6,3,0,3,0
7/1/2015,22.7,16.7,19.7,16.6,0,16.6,0
7/2/2015,21.8,11.5,16.7,0,0,0,0
7/3/2015,24.7,11,17.9,0,0,0,0
7/4/2015,24.9,10.9,17.9,0,0,0,0
7/5/2015,26.3,15,20.7,0,0,0,0
7/6/2015,28.3,15.1,21.7,0,0,0,0
7/7/2015,29.6,20,24.8,8.3,0,8.3,0
7/8/2015,24.5,12.9,18.7,0,0,0,0
7/9/2015,22.7,13.7,18.2,0,0,0,0
7/10/2015,27.4,14.7,21.1,0,0,0,0
7/11/2015,30.6,16.3,23.5,0,0,0,0
7/12/2015,30.2,20.6,25.4,0,0,0,0
7/13/2015,29.9,17.4,23.7,0,0,0,0
7/14/2015,26.2,19.6,22.9,5.3,0,5.3,0
7/15/2015,20.7,11,15.9,0,0,0,0
7/16/2015,23.8,9.4,16.6,0,0,0,0
7/17/2015,22.6,10.1,16.4,13.5,0,13.5,0
7/18/2015,28,16,22,0,0,0,0
7/19/2015,31.4,21.2,26.3,0,0,0,0
7/20/2015,28.8,18.7,23.8,1.2,0,1.2,0
7/21/2015,26.3,19.2,22.8,0.5,0,0.5,0
7/22/2015,23.1,15,19.1,0,0,0,0
7/23/2015,25.4,16.9,21.2,0,0,0,0
7/24/2015,26.2,14.2,20.2,0,0,0,0
7/25/2015,26.1,15,20.6,7,0,7,0
7/26/2015,29.1,19.2,24.2,0,0,0,0
7/27/2015,31.7,18.1,24.9,1.3,0,1.3,0
7/28/2015,32.8,17.2,25,0,0,0,0
7/29/2015,33.9,19.8,26.9,8.2,0,8.2,0
7/30/2015,30.3,21.1,25.7,0,0,0,0
7/31/2015,27.7,19.1,23.4,1.2,0,1.2,0
8/1/2015,26.5,14.2,20.4,0,0,0,0
8/2/2015,28.1,12.5,20.3,6.4,0,6.4,0
8/3/2015,24.6,17.6,21.1,0.4,0,0.4,0
8/4/2015,24.8,14.8,19.8,1.2,0,1.2,0
8/5/2015,23.5,13.6,18.6,0,0,0,0
8/6/2015,23.5,14,18.8,0,0,0,0
8/7/2015,23.4,12,17.7,0,0,0,0
8/8/2015,24.3,11.5,17.9,0,0,0,0
8/9/2015,26.9,12,19.5,0,0,0,0
8/10/2015,28.3,10.8,19.6,37.3,0,37.3,0
8/11/2015,24.6,18.3,21.5,3.6,0,3.6,0
8/12/2015,21.3,17,19.2,0,0,0,0
8/13/2015,25.9,13.2,19.6,1.3,0,1.3,0
8/14/2015,26.4,16.7,21.6,0.6,0,0.6,0
8/15/2015,28.2,18.9,23.6,0,0,0,0
8/16/2015,30.8,17.1,24,0,0,0,0
8/17/2015,31.8,18.7,25.3,0,0,0,0
8/18/2015,31.5,19.5,25.5,0.3,0,0.3,0
8/19/2015,29.5,19,24.3,0,0,0,0
8/20/2015,28.3,22.5,25.4,21,0,21,0
8/21/2015,24.8,16.2,20.5,0,0,0,0
8/22/2015,25.8,13.2,19.5,0,0,0,0
8/23/2015,26.8,12.2,19.5,0,0,0,0
8/24/2015,24.7,15.5,20.1,2,0,2,0
8/25/2015,21.7,13.1,17.4,0,0,0,0
8/26/2015,22.3,12.9,17.6,1.1,0,1.1,0
8/27/2015,22.3,13.7,18,0,0,0,0
8/28/2015,22,8.1,15.1,0,0,0,0
8/29/2015,23.3,11.5,17.4,1.3,0,1.3,0
8/30/2015,25.9,14.5,20.2,0,0,0,0
8/31/2015,25.3,16.9,21.1,0,0,0,0
9/1/2015,28.7,12.8,20.8,0,0,0,0
9/2/2015,27.9,16.4,22.2,6,0,6,0
9/3/2015,28.8,17.8,23.3,0.2,0,0.2,0
9/4/2015,26,13.4,19.7,0,0,0,0
9/5/2015,28.5,12.5,20.5,0,0,0,0
9/6/2015,30.5,16,23.3,0,0,0,0
9/7/2015,33,19,26,10.4,0,10.4,0
9/8/2015,27.5,19.4,23.5,0,0,0,0
9/9/2015,24.6,21.5,23.1,0.4,0,0.4,0
9/10/2015,24,11.8,17.9,0,0,0,0
9/11/2015,25.3,11.2,18.3,3.7,0,3.7,0
9/12/2015,15.5,12,13.8,39.8,0,39.8,0
9/13/2015,19.3,12.7,16,16.7,0,16.7,0
9/14/2015,23.2,13.4,18.3,0,0,0,0
9/15/2015,27.4,11.7,19.6,0,0,0,0
9/16/2015,29.6,13.2,21.4,0,0,0,0
9/17/2015,28.2,14.8,21.5,0,0,0,0
9/18/2015,28.7,15.3,22,0,0,0,0
9/19/2015,24.5,18,21.3,2.5,0,2.5,0
9/20/2015,18.2,10.3,14.3,0,0,0,0
9/21/2015,20.4,5.2,12.8,0,0,0,0
9/22/2015,22.4,7.5,15,0,0,0,0
9/23/2015,23.4,8.8,16.1,0,0,0,0
9/24/2015,20.8,12.5,16.7,0,0,0,0
9/25/2015,16.6,10.6,13.6,0,0,0,0
9/26/2015,19,3,11,0,0,0,0
9/27/2015,23.8,5.1,14.5,0,0,0,0
9/28/2015,21.1,12.2,16.7,5.1,0,5.1,0
9/29/2015,22.1,17.5,19.8,11.8,0,11.8,0
9/30/2015,15,10.4,12.7,0,0,0,0
10/1/2015,14.6,3.7,9.2,0,0,0,0
10/2/2015,12.5,3.7,8.1,0,0,0,0
10/3/2015,13.7,4.2,9,0,0,0,0
10/4/2015,15.2,5.5,10.4,0,0,0,0
10/5/2015,15.8,8.8,12.3,0,0,0,0
10/6/2015,15.2,11,13.1,0,0,0,0
10/7/2015,18.4,9,13.7,0,0,0,0
10/8/2015,13.1,1.5,7.3,10.2,0,10.2,0
10/9/2015,9.4,4.9,7.2,2.5,0,2.5,0
10/10/2015,12.5,1.5,7,0,0,0,0
10/11/2015,19.5,7.2,13.4,0,0,0,0
10/12/2015,23.6,8,15.8,2.7,0,2.7,0
10/13/2015,17.8,11.3,14.6,0.4,0,0.4,0
10/14/2015,9.8,6.4,8.1,0,0,0,0
10/15/2015,15.4,0.5,8,7.2,0,7.2,0
10/16/2015,10.6,6.3,8.5,6,0,6,0
10/17/2015,6.5,1.8,4.2,0,0,0,0
10/18/2015,2.5,-3.5,-0.5,0,0,0,0
10/19/2015,12.2,-6.8,2.7,0.8,0,0.8,0
10/20/2015,17,3.8,10.4,0,0,0,0
10/21/2015,11.2,2.7,7,4.2,0,4.2,0
10/22/2015,16.1,4,10.1,0,0,0,0
10/23/2015,8.4,1,4.7,0,0,0,0
10/24/2015,12.9,-2,5.5,12.9,0,12.9,0
10/25/2015,10.4,6.5,8.5,0,0,0,0
10/26/2015,7.8,-2,2.9,0,0,0,0
10/27/2015,12.2,-3.6,4.3,0,0,0,0
10/28/2015,13.4,0.5,7,32.4,0,32.4,0
10/29/2015,13.3,5.4,9.4,1.6,0,1.6,0
10/30/2015,7.9,2.4,5.2,0,0,0,0
10/31/2015,6.7,-4.5,1.1,3.1,0,3.1,0
11/1/2015,13.4,4.5,9,0,0,0,0
11/2/2015,12.1,7.8,10,0.3,0,0.3,0
11/3/2015,14.9,3.5,9.2,0,0,0,0
11/4/2015,16.2,0.5,8.4,0,0,0,0
11/5/2015,21.4,4.2,12.8,0,0,0,0
11/6/2015,19.6,12.9,16.3,0.5,0,0.5,0
11/7/2015,10.9,4.5,7.7,0,0,0,0
11/8/2015,7.8,-2,2.9,0,0,0,0
11/9/2015,12.5,-0.2,6.2,0,0,0,0
11/10/2015,10.8,-3.7,3.6,0,0,0,0
11/11/2015,10.8,7.8,9.3,2,0,2,0
11/12/2015,11.3,7.2,9.3,12.5,0,12.5,0
11/13/2015,8.8,6,7.4,5.1,0,5.1,0
11/14/2015,3.4,-1.4,1,0,0,0,0
11/15/2015,7.6,-1.3,3.2,0,0,0,0
11/16/2015,7.4,3,5.2,0,0,0,0
11/17/2015,5.3,-4,0.7,0,0,0,0
11/18/2015,14.5,-2.2,6.2,0,0,0,0
11/19/2015,16.4,6,11.2,6.2,0,6.2,0
11/20/2015,8,2,5,0,0,0,0
11/21/2015,7.1,-2.5,2.3,0,0,0,0
11/22/2015,4.7,2.5,3.6,0,0,0,0
11/23/2015,0.6,-8,-3.7,0,1,0.6,0
11/24/2015,-1.9,-4.8,-3.4,0,0,0,1
11/25/2015,4.5,-8,-1.8,0,0,0,0
11/26/2015,13.7,-1.2,6.3,0,0,0,0
11/27/2015,13,8.1,10.6,5.8,0,5.8,0
11/28/2015,-1.3,-4,-2.7,0,0,0,0
11/29/2015,0,-7,-3.5,0,0,0,0
11/30/2015,-1.2,-6.2,-3.7,0,0,0,0
12/1/2015,1.5,-7,-2.8,8,0,8,0
12/2/2015,3.3,-1,1.2,0,0,0,0
12/3/2015,4.6,0,2.3,0,0,0,0
12/4/2015,6.5,0.3,3.4,0,0,0,0
12/5/2015,8.3,3.9,6.1,0,0,0,0
12/6/2015,9.3,1.5,5.4,0,0,0,0
12/7/2015,6.2,-1.4,2.4,0,0,0,0
12/8/2015,3.8,-1,1.4,0,0,0,0
12/9/2015,9.4,0.9,5.2,0.2,0,0.2,0
12/10/2015,11,1.8,6.4,0,0,0,0
12/11/2015,13.7,5.1,9.4,3,0,3,0
12/12/2015,6.7,4.3,5.5,0,0,0,0
12/13/2015,3.2,0.5,1.9,3,0,3,0
12/14/2015,8.7,0.2,4.5,10.8,0,10.8,0
12/15/2015,9.5,2.5,6,0,0,0,0
12/16/2015,2.1,-0.8,0.7,3.2,0,3.2,0
12/17/2015,6.3,-0.5,2.9,0,0,0,0
12/18/2015,3.6,1.5,2.6,0,0.6,0.6,0
12/19/2015,-0.4,-3.5,-2,0,0,0,0
12/20/2015,-0.2,-6.8,-3.5,0,0,0,0
12/21/2015,4.3,-3.3,0.5,14.8,0,14.8,0
12/22/2015,4,0.7,2.4,1.6,0,1.6,0
12/23/2015,9.3,2.1,5.7,5.5,0,5.5,0
12/24/2015,17.1,4.2,10.7,0,0,0,0
12/25/2015,8.3,3.5,5.9,0,0,0,0
12/26/2015,4.7,-2.6,1.1,11,1.6,12.6,0
12/27/2015,0.3,-0.8,-0.3,0,0,0,0
12/28/2015,-0.6,-11.7,-6.2,0,12.5,12.5,0
12/29/2015,-6.7,-11.9,-9.3,0.4,12,12.4,10
12/30/2015,-4.4,-11.3,-7.9,0,2.2,1.8,18
12/31/2015,-1.3,-6.9,-4.1,0,2.4,2.1,19
1/1/2016,-0.1,-4.1,-2.1,0,0,0,20
1/2/2016,-0.1,-7.8,-4,0,5,2.7,20
1/3/2016,-0.2,-5.7,-3,0,0,0,21
1/4/2016,-14.7,-20.4,-17.6,0,0,0,17
1/5/2016,-7.4,-22.9,-15.2,0,0,0,17
1/6/2016,1.3,-17.7,-8.2,0,0,0,17
1/7/2016,-0.1,-9.9,-5,0,0,0,16
1/8/2016,0.4,-10.2,-4.9,0,2.5,3.1,16
1/9/2016,4.2,-3.7,0.3,1.6,0,1.6,18
1/10/2016,6.1,1.3,3.7,19,0,19,13
1/11/2016,-9,-12.2,-10.6,0,0,0,7
1/12/2016,-3,-16.1,-9.6,0,6.5,5.1,7
1/13/2016,-11.1,-14.6,-12.9,0,2,1,9
1/14/2016,-4.8,-19,-11.9,0,0,0,10
1/15/2016,-6.3,-13.2,-9.8,0,0.4,0.4,11
1/16/2016,-3.1,-9.3,-6.2,0,2,2.5,9
1/17/2016,-6.6,-17.3,-12,0,6,4.1,11
1/18/2016,-11.8,-14.3,-13.1,0,0,0,18
1/19/2016,-9.9,-18.2,-14.1,0,0,0,14
1/20/2016,-5.1,-12.2,-8.7,0,0,0,10
1/21/2016,-7.3,-14,-10.7,0,0,0,10
1/22/2016,-4.7,-12.1,-8.4,0,0,0,10
1/23/2016,-6.3,-15.7,-11,0,0,0,10
1/24/2016,-5.4,-17.7,-11.6,1.8,1,2.8,10
1/25/2016,1.3,-10.6,-4.7,0.4,0,0.4,11
1/26/2016,5.5,-5.6,-0.1,1.1,0.4,1.5,11
1/27/2016,-2.2,-7.8,-5,0,0,0,8
1/28/2016,0.7,-10.8,-5.1,0,4,2.5,7
1/29/2016,-1,-6.2,-3.6,0,1,1,11
1/30/2016,-3.2,-11.9,-7.6,0,0,0,11
1/31/2016,7.6,-7.1,0.3,4.5,0,4.5,11
2/1/2016,4,1.1,2.6,0,0,0,0
2/2/2016,0.3,-9,-4.4,4,2,6,5
2/3/2016,7.1,-5.6,0.8,2.1,0,2.1,6
2/4/2016,3.3,0.5,1.9,0,0,0,6
2/5/2016,-2.7,-9,-5.9,0,0,0,6
2/6/2016,2.2,-7.3,-2.6,0,0.5,0.3,5
2/7/2016,-3.7,-6.4,-5.1,0,0,0,5
2/8/2016,-5.8,-9.2,-7.5,0,1,0.9,5
2/9/2016,-5.8,-9,-7.4,0,2.5,1.1,8
2/10/2016,-3.4,-7.9,-5.7,0,1.2,1.2,9
2/11/2016,-16.5,-18.3,-17.4,0,0,0,10
2/12/2016,-4.3,-21.4,-12.9,0,1,0.8,10
2/13/2016,-24.5,-29,-26.8,0,0,0,11
2/14/2016,-17.8,-29.2,-23.5,0,0,0,10
2/15/2016,-6.5,-24.3,-15.4,0,3.9,3.9,10
2/16/2016,-3.8,-11.8,-7.8,0,37,35.3,14
2/17/2016,0.1,-11.2,-5.6,0,0.4,0.4,40
2/18/2016,-7.2,-22,-14.6,0,0,0,38
2/19/2016,3.2,-23.1,-10,2.8,3,5.8,37
2/20/2016,5.4,-7.2,-0.9,2.1,0.3,2.4,38
2/21/2016,1.9,-3,-0.6,0,0,0,27
2/22/2016,-7.4,-18.3,-12.9,0,0,0,24
2/23/2016,-4.9,-19,-12,0,0.6,0.6,24
2/24/2016,1.4,-7.3,-3,26,5,31,24
2/25/2016,1.5,-1.2,0.2,1.4,1,2.2,24
2/26/2016,-8.6,-15,-11.8,0,0,0,24
2/27/2016,2.6,-17.2,-7.3,0,0.5,0.4,24
2/28/2016,-3.5,-8.8,-6.2,3,1.2,4,26
2/29/2016,1.5,-8.2,-3.4,0,0,0,26
3/1/2016,-8.9,-17.7,-13.3,0,10,10,26
3/2/2016,-7.3,-12.6,-10,0,0.4,0.4,36
3/3/2016,-10.6,-23.6,-17.1,0,0,0,34
3/4/2016,-3.8,-23.5,-13.7,0,0,0,34
3/5/2016,1,-19.4,-9.2,0,0,0,34
3/6/2016,2.8,-12.7,-5,0.5,0.5,1,34
3/7/2016,5.8,-2.7,1.6,0.7,0,0.7,34
3/8/2016,6.3,0.9,3.6,0,0,0,31
3/9/2016,12.5,0.5,6.5,3.7,0,3.7,26
3/10/2016,5,3.4,4.2,0.4,0,0.4,22
3/11/2016,4,-1.2,1.4,0,0,0,18
3/12/2016,9.7,-5,2.4,0,0,0,16
3/13/2016,9,0.7,4.9,0,0,0,10
3/14/2016,2.9,-0.3,1.3,0,0,0,4
3/15/2016,4.4,1,2.7,7.6,0,7.6,3
3/16/2016,7,2.5,4.8,9.4,0,9.4,3
3/17/2016,9.4,1.1,5.3,2.6,0,2.6,0
3/18/2016,1.2,-1,0.1,0,0,0,0
3/19/2016,0.1,-9.8,-4.9,0,0,0,0
3/20/2016,1.2,-8.2,-3.5,0,0,0,0
3/21/2016,4,-7.8,-1.9,0,0,0,0
3/22/2016,5,-6,-0.5,0.2,3.4,3.6,0
3/23/2016,3,-1.5,0.8,0,0.2,0.2,3
3/24/2016,-0.5,-7,-3.8,9.4,5,14.4,0
3/25/2016,0,-6,-3,0,0,0,4
3/26/2016,6,-8.5,-1.3,0,0,0,4
3/27/2016,12.5,-3,4.8,8,0,8,0
3/28/2016,6,2.5,4.3,13,0,13,0
3/29/2016,6,-3,1.5,0,0,0,0
3/30/2016,10.5,-4,3.3,14.6,0,14.6,0
3/31/2016,14.5,3.5,9,8.4,0,8.4,0
4/1/2016,12.5,8,10.3,0,0,0,0
4/2/2016,6,-0.5,2.8,1,0,1,0
4/3/2016,-5,-10.5,-7.8,0,0,0,0
4/4/2016,-1.5,-9,-5.3,0,0,0,0
4/5/2016,0,-9.5,-4.8,0,0,0,0
4/6/2016,1.5,-5,-1.8,2,18,16.4,0
4/7/2016,6,-3,1.5,1.2,0,1.2,18
4/8/2016,-2,-4.5,-3.3,0,0.6,0.6,4
4/9/2016,1.5,-9.5,-4,0,0,0,3
4/10/2016,2,-10,-4,0,6.6,6.6,3
4/11/2016,6,-2.5,1.8,7,0,7,5
4/12/2016,6,0,3,0,0,0,0
4/13/2016,7,-4,1.5,0,0,0,0
4/14/2016,10.5,-3,3.8,0,0,0,0
4/15/2016,14.5,-0.5,7,0,0,0,0
4/16/2016,16.5,3.5,10,0,0,0,0
4/17/2016,23,1.5,12.3,0,0,0,0
4/18/2016,15,7,11,3.4,0,3.4,0
4/19/2016,14.5,1.5,8,0,0,0,0
4/20/2016,15.5,0,7.8,0,0,0,0
4/21/2016,22,0.5,11.3,5.2,0,5.2,0
4/22/2016,14,11.5,12.8,1,0,1,0
4/23/2016,10.5,0,5.3,0,0,0,0
4/24/2016,12,-2.5,4.8,0,0,0,0
4/25/2016,9,0,4.5,0,0,0,0
4/26/2016,11,1,6,0,0,0,0
4/27/2016,9,-2.5,3.3,0,0,0,0
4/28/2016,9.5,-1.5,4,0,0,0,0
4/29/2016,13,-1,6,0,0,0,0
4/30/2016,16.5,0,8.3,0,0,0,0
5/1/2016,10,7,8.5,3,0,3,0
5/2/2016,10.5,6.5,8.5,0,0,0,0
5/3/2016,16,0.5,8.3,0,0,0,0
5/4/2016,15,5,10,0,0,0,0
5/5/2016,19.5,9.5,14.5,0,0,0,0
5/6/2016,22.5,4.5,13.5,0,0,0,0
5/7/2016,20,10,15,9.6,0,9.6,0
5/8/2016,9,2.5,5.8,0,0,0,0
5/9/2016,13,0.5,6.8,0,0,0,0
5/10/2016,18.5,1.5,10,0,0,0,0
5/11/2016,22.5,4,13.3,0,0,0,0
5/12/2016,26.5,9.5,18,1,0,1,0
5/13/2016,23,16.5,19.8,5.8,0,5.8,0
5/14/2016,17.5,8,12.8,0.4,0,0.4,0
5/15/2016,9.5,5,7.3,0,0,0,0
5/16/2016,13,3,8,0,0,0,0
5/17/2016,16,1,8.5,0,0,0,0
5/18/2016,17,5.5,11.3,0,0,0,0
5/19/2016,20.5,10,15.3,0,0,0,0
5/20/2016,24.5,6,15.3,0,0,0,0
5/21/2016,25.5,9,17.3,0,0,0,0
5/22/2016,25.5,13,19.3,0,0,0,0
5/23/2016,26.5,9.5,18,0,0,0,0
5/24/2016,29,8.5,18.8,1.2,0,1.2,0
5/25/2016,26,16,21,0,0,0,0
5/26/2016,25.5,12.5,19,0.8,0,0.8,0
5/27/2016,30.5,14,22.3,0,0,0,0
5/28/2016,32,16.5,24.3,4.6,0,4.6,0
5/29/2016,32.5,18,25.3,0,0,0,0
5/30/2016,28.5,18.5,23.5,0,0,0,0
5/31/2016,23,14.5,18.8,0,0,0,0
6/1/2016,25,10,17.5,2.2,0,2.2,0
6/2/2016,24,15,19.5,0.4,0,0.4,0
6/3/2016,26,13,19.5,0,0,0,0
6/4/2016,26.5,14.5,20.5,6.6,0,6.6,0
6/5/2016,20.5,14,17.3,24,0,24,0
6/6/2016,23,16,19.5,0,0,0,0
6/7/2016,21,12.5,16.8,2.2,0,2.2,0
6/8/2016,13,8.5,10.8,0,0,0,0
6/9/2016,19,7.5,13.3,0,0,0,0
6/10/2016,19.5,7.5,13.5,3.6,0,3.6,0
6/11/2016,17,10,13.5,2.6,0,2.6,0
6/12/2016,13,8.5,10.8,0,0,0,0
6/13/2016,21,10,15.5,0,0,0,0
6/14/2016,25,8,16.5,0,0,0,0
6/15/2016,27.5,11.5,19.5,0,0,0,0
6/16/2016,28.5,12,20.3,0,0,0,0
6/17/2016,29.5,11,20.3,0,0,0,0
6/18/2016,32,11,21.5,0,0,0,0
6/19/2016,33.5,15,24.3,0,0,0,0
6/20/2016,32.5,17.5,25,0,0,0,0
6/21/2016,23.5,15,19.3,0,0,0,0
6/22/2016,22,15,18.5,0,0,0,0
6/23/2016,25.5,10.5,18,0,0,0,0
6/24/2016,28,10,19,0,0,0,0
6/25/2016,31,13,22,0,0,0,0
6/26/2016,33,16,24.5,11.8,0,11.8,0
6/27/2016,29.5,20,24.8,0,0,0,0
6/28/2016,25.5,19.5,22.5,3.2,0,3.2,0
6/29/2016,25,16.5,20.8,0,0,0,0
6/30/2016,29,13,21,0,0,0,0
7/1/2016,27,12,19.5,12.6,0,12.6,0
7/2/2016,22.5,13,17.8,0,0,0,0
7/3/2016,27.5,13.5,20.5,0,0,0,0
7/4/2016,29.5,15,22.3,0,0,0,0
7/5/2016,32,12.5,22.3,0,0,0,0
7/6/2016,31,18,24.5,0,0,0,0
7/7/2016,29.5,20,24.8,0,0,0,0
7/8/2016,22,17.5,19.8,9.2,0,9.2,0
7/9/2016,18.5,16,17.3,45.2,0,45.2,0
7/10/2016,21.5,14.5,18,0,0,0,0
7/11/2016,28.5,11,19.8,0,0,0,0
7/12/2016,29,14.5,21.8,0,0,0,0
7/13/2016,31.5,17.5,24.5,6.2,0,6.2,0
7/14/2016,28.5,22,25.3,6,0,6,0
7/15/2016,28,18.5,23.3,4.8,0,4.8,0
7/16/2016,23,14.5,18.8,0,0,0,0
7/17/2016,26,17.5,21.8,4,0,4,0
7/18/2016,28.5,16.5,22.5,0,0,0,0
7/19/2016,23,12.5,17.8,0,0,0,0
7/20/2016,26.5,11.5,19,0,0,0,0
7/21/2016,31.5,14,22.8,0,0,0,0
7/22/2016,32.5,23,27.8,0,0,0,0
7/23/2016,28,19,23.5,0,0,0,0
7/24/2016,26.5,12,19.3,4,0,4,0
7/25/2016,28.5,17.5,23,0.6,0,0.6,0
7/26/2016,29.5,19,24.3,0,0,0,0
7/27/2016,30.5,15.5,23,8.2,0,8.2,0
7/28/2016,27.5,19.5,23.5,0,0,0,0
7/29/2016,25,16,20.5,0,0,0,0
7/30/2016,26.5,14,20.3,0,0,0,0
7/31/2016,29,13.5,21.3,0,0,0,0
8/1/2016,29.5,18,23.8,0,0,0,0
8/2/2016,29.5,15,22.3,0,0,0,0
8/3/2016,30.5,14.5,22.5,0,0,0,0
8/4/2016,33.5,18,25.8,0,0,0,0
8/5/2016,32.5,19.5,26,0,0,0,0
8/6/2016,28,19.5,23.8,0,0,0,0
8/7/2016,27,16,21.5,0,0,0,0
8/8/2016,30,12.5,21.3,0,0,0,0
8/9/2016,32,13.5,22.8,0,0,0,0
8/10/2016,34,20,27,0,0,0,0
8/11/2016,34,20.5,27.3,0,0,0,0
8/12/2016,25.5,19,22.3,7.6,0,7.6,0
8/13/2016,23,15,19,68,0,68,0
8/14/2016,24,17.5,20.8,0,0,0,0
8/15/2016,27.5,15,21.3,0,0,0,0
8/16/2016,22.5,17,19.8,23.4,0,23.4,0
8/17/2016,27.5,16,21.8,0,0,0,0
8/18/2016,27,18,22.5,0.6,0,0.6,0
8/19/2016,29,13,21,0,0,0,0
8/20/2016,30,16,23,6.2,0,6.2,0
8/21/2016,24.5,20.5,22.5,11,0,11,0
8/22/2016,22,10.5,16.3,0,0,0,0
8/23/2016,27.5,10,18.8,0,0,0,0
8/24/2016,28.5,14.5,21.5,0.4,0,0.4,0
8/25/2016,30,20.5,25.3,2.4,0,2.4,0
8/26/2016,28,19.5,23.8,0,0,0,0
8/27/2016,27,16.5,21.8,0,0,0,0
8/28/2016,29.5,18,23.8,2.8,0,2.8,0
8/29/2016,24.5,16,20.3,0,0,0,0
8/30/2016,25.5,12.5,19,0,0,0,0
8/31/2016,27,17.5,22.3,0,0,0,0
9/1/2016,23,12.5,17.8,0,0,0,0
9/2/2016,20,12.5,16.3,0,0,0,0
9/3/2016,23.5,7,15.3,0,0,0,0
9/4/2016,26.5,8,17.3,0,0,0,0
9/5/2016,28,8.5,18.3,0,0,0,0
9/6/2016,30,11,20.5,0,0,0,0
9/7/2016,28.5,16,22.3,13.8,0,13.8,0
9/8/2016,27.5,20.5,24,3.6,0,3.6,0
9/9/2016,26.5,19.5,23,0,0,0,0
9/10/2016,26,14,20,3.6,0,3.6,0
9/11/2016,19,14,16.5,0,0,0,0
9/12/2016,24,7.5,15.8,0,0,0,0
9/13/2016,27,10.5,18.8,0,0,0,0
9/14/2016,18.5,15.5,17,0,0,0,0
